Altium Designer Pick and Place Locations
C:\Users\thoma\Documents\Altium\UltraZOhm\Slow ADC Main\Project Outputs for Analog_MAX11331_Adapter_1v02\Pick Place\PickPlace_Analog_MAX11331_Adapter_1v02_1v01.txt

========================================================================================================================
File Design Information:

Date:       10.06.20
Time:       09:00
Revision:   3972788b5e88ec3c825f91b9711b4f248a2b8af0
Variant:    No_CLK_RTN
Units used: mm

Designator  Footprint                    Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Layer       Comment                      
Serial      SERIAL_6.3X6.3MM             -5.5880      -82.2198     55.0128   44.7040   -5.5880   -82.2198  180      TopLayer    "Serialnumber 6,3 x 6.3mm"   
PCB_Logo1   ESD_OVERLAY_MEDIUM           -5.5880      -82.2198     62.9412   44.6381   -5.5880   -82.2198  360      TopLayer    "ESD Susceptible"            
ProjectName ID_PROJECTREV                -5.5880      -82.2198     56.7000   41.2000   -5.5880   -82.2198  360      TopLayer    "Project Name, Rev"          
X5          IPL1-102-01-L-D-K            92.9700      -31.0233     92.9700   -31.0233  91.7000   -29.7533  0        TopLayer    IPL1-102-01-L-D-K            
X4          IPL1-102-01-L-D-K            92.9700      -9.5856      92.9700   -9.5856   91.7000   -8.3156   0        TopLayer    IPL1-102-01-L-D-K            
X3          IPL1-102-01-L-D-K            92.9700      12.0144      92.9700   12.0144   91.7000   13.2844   0        TopLayer    IPL1-102-01-L-D-K            
X2C         EHF-108-01-F-D               71.9526      -30.5610     71.9526   -30.5610  67.5076   -31.1960  360      TopLayer    "2x8 Pin"                    
X2B         EHF-108-01-F-D               71.9582      -9.1186      71.9582   -9.1186   67.5132   -9.7536   360      TopLayer    "2x8 Pin"                    
X2A         EHF-108-01-F-D               71.9780      11.7604      71.9780   11.7604   67.5330   11.1254   360      TopLayer    "2x8 Pin"                    
X1          HSEC8-140-01-XX-DV-A-BL-CARD 2.4130       -0.0068      0.0130    -0.0068   2.4130    17.1932   270      BottomLayer HSEC8-140-01-XX-DV-A-BL-CARD 
U10         TSOP65P640X120-16N           31.6000      -21.5000     31.6000   -21.5000  28.6500   -19.2250  0        TopLayer    SN74AVC4T774                 
U9          TSOP65P640X120-16N           31.6000      -13.2250     31.6000   -13.2250  28.6500   -10.9500  0        TopLayer    SN74AVC4T774                 
U8          TSOP65P640X120-16N           31.6000      -4.9000      31.6000   -4.9000   28.6500   -2.6250   0        TopLayer    SN74AVC4T774                 
U7          TSOP65P640X120-16N           31.6000      3.4000       31.6000   3.4000    28.6500   5.6750    0        TopLayer    SN74AVC4T774                 
U6          SOT-23-5                     32.8000      23.6000      32.8000   23.6000   33.7500   24.9000   90       TopLayer    LDO                          
U5          SOIC127P600X170_HS-9N        34.3000      33.9350      34.3000   33.9350   31.6000   35.8400   360      TopLayer    "buck converter"             
U3C         TSOP65P640X120-16N           53.7989      -29.9025     53.7989   -29.9025  56.7489   -32.1775  180      TopLayer    "Quad LVDS reciever"         
U3B         TSOP65P640X120-16N           53.8045      -8.4601      53.8045   -8.4601   56.7545   -10.7351  180      TopLayer    "Quad LVDS reciever"         
