Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\UZ_A_MAX11331_Adapter\Project Outputs for UZ_A_MAX11331_Adapter\Rev03\Pick Place\Pick_and_Place_UltraZohm_Analog_Adapter_MAX11331_SMD_Assembly_Rev03.csv

========================================================================================================================
File Design Information:

Date:       22.09.25
Time:       14:46
Revision:   06f6013ea359f115bf569a38575a0283937fe3fc
Variant:    SMD_Assembly
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"C7","C_0603","31.7000","31.7000","-40.3000","-40.3000","32.4000","-40.3000","180","100 nF","TopLayer"
"C25","CAP_0603","36.5000","36.5000","-19.6000","-18.9000","36.5000","-19.6000","180","100nF","TopLayer"
"C24","CAP_0603","36.5000","36.5000","-11.4000","-10.7000","36.5000","-11.4000","180","100nF","TopLayer"
"C23","CAP_0603","36.5000","36.5000","-3.0000","-2.3000","36.5000","-3.0000","180","100nF","TopLayer"
"C22","CAP_0603","36.5000","36.5000","5.2000","5.9000","36.5000","5.2000","180","100nF","TopLayer"
"C21","CAP_0603","36.5000","36.5000","13.5000","14.2000","36.5000","13.5000","180","100nF","TopLayer"
"C20","CAP_0603","33.5810","32.8810","-17.8000","-17.8000","33.5810","-17.8000","270","100nF","TopLayer"
"C19","CAP_0603","33.5810","32.8810","-9.5000","-9.5000","33.5810","-9.5000","270","100nF","TopLayer"
"C18","CAP_0603","33.5810","32.8810","-1.2000","-1.2000","33.5810","-1.2000","270","100nF","TopLayer"
"C17","CAP_0603","33.5810","32.8810","17.1450","17.1450","33.5810","17.1450","270","1µF","TopLayer"
"C16","CAP_0603","28.8290","28.8290","25.5300","24.8300","28.8290","25.5300","0","1µF","TopLayer"
"C15","CAP_0603","40.6670","41.3670","30.8060","30.8060","40.6670","30.8060","90","1µF","TopLayer"
"C14","CAP_0603","31.3680","31.3680","30.7590","30.0590","31.3680","30.7590","0","1µF","TopLayer"
"C13","CAP_0603","31.3680","31.3680","32.1290","32.8290","31.3680","32.1290","180","100nF","TopLayer"
"C10","CAP_0603","28.9560","28.9560","36.9570","36.2570","28.9560","36.9570","0","100nF","TopLayer"
"C6","CAP_0603","40.8080","40.8080","33.7590","33.0590","40.8080","33.7590","0","100nF","TopLayer"
"C5C","CAP_0603","83.9286","83.2286","-36.1164","-36.1164","83.9286","-36.1164","270","100nF","TopLayer"
"C5B","CAP_0603","83.9342","83.2342","-14.6740","-14.6740","83.9342","-14.6740","270","100nF","TopLayer"
"C5A","CAP_0603","83.9540","83.2540","6.2050","6.2050","83.9540","6.2050","270","100nF","TopLayer"
"C4C","CAP_0603","68.5276","69.2276","-43.4232","-43.4232","68.5276","-43.4232","90","100nF","TopLayer"
"C4B","CAP_0603","68.5332","69.2332","-21.9808","-21.9808","68.5332","-21.9808","90","100nF","TopLayer"
"C4A","CAP_0603","68.5530","69.2530","-1.1018","-1.1018","68.5530","-1.1018","90","100nF","TopLayer"
"C3C","CAP_0603","50.9989","50.2989","-33.6025","-33.6025","50.9989","-33.6025","270","100nF","TopLayer"
"C3B","CAP_0603","51.0045","50.3045","-12.1601","-12.1601","51.0045","-12.1601","270","100nF","TopLayer"
"C3A","CAP_0603","51.0243","50.3243","8.7189","8.7189","51.0243","8.7189","270","100nF","TopLayer"
"C2","CAP_0603","33.5810","32.8810","7.1000","7.1000","33.5810","7.1000","270","100nF","TopLayer"
"C1","CAP_0603","33.5810","32.8810","15.4000","15.4000","33.5810","15.4000","270","100nF","TopLayer"
"U11","D0008A_N","29.8760","29.8760","-43.7180","-43.7180","27.1510","-41.8130","0","M24C02-WMN6TP","TopLayer"
